seed,PRS_final_fitness,ERS_final_fitness
0,0.063614,0.046299
1,0.064743,0.039147
2,0.059849,0.042535
3,0.06813,0.047051
4,0.065496,0.046299
5,0.06926,0.046299
6,0.06926,0.039147
7,0.060979,0.042535
8,0.06399,0.041405
9,0.053074,0.039147
10,0.072647,0.041405
11,0.064366,0.039147
12,0.061731,0.046299
13,0.062861,0.046675
14,0.065119,0.046299
15,0.066248,0.041405
16,0.060979,0.046675
17,0.06926,0.043664
18,0.072647,0.041405
19,0.058344,0.046299
20,0.065872,0.046299
21,0.065872,0.041405
22,0.067754,0.039147
23,0.060979,0.046299
24,0.056085,0.041405
25,0.059849,0.041405
26,0.063614,0.039147
27,0.062484,0.042535
28,0.069636,0.041405
29,0.064743,0.038394
